OTU,Genus,Family,Order,Class,Phylum
1,Otu000001,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
2,Otu000002,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
3,Otu000003,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
4,Otu000004,Akkermansia,Verrucomicrobiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia
5,Otu000005,Roseburia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
6,Otu000006,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
7,Otu000007,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
8,Otu000008,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
9,Otu000009,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
10,Otu000011,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
11,Otu000012,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
12,Otu000013,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
13,Otu000015,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria
14,Otu000016,Ruminococcus2,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
15,Otu000017,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
16,Otu000018,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
17,Otu000019,Collinsella,Coriobacteriaceae,Coriobacteriales,Actinobacteria,Actinobacteria
18,Otu000020,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
19,Otu000022,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
20,Otu000023,Phascolarctobacterium,Acidaminococcaceae,Selenomonadales,Negativicutes,Firmicutes
21,Otu000025,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
22,Otu000026,Dorea,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
23,Otu000027,Clostridium_XI,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes
24,Otu000030,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
25,Otu000031,Clostridium_sensu_stricto,Clostridiaceae_1,Clostridiales,Clostridia,Firmicutes
26,Otu000033,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
27,Otu000035,Parabacteroides,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes
28,Otu000036,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
29,Otu000038,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
30,Otu000039,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
31,Otu000040,Barnesiella,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes
32,Otu000041,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
33,Otu000042,Clostridium_XI,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes
34,Otu000043,Dialister,Veillonellaceae,Selenomonadales,Negativicutes,Firmicutes
35,Otu000045,Ruminococcus2,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
36,Otu000046,Clostridium_XlVa,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
37,Otu000047,Clostridium_XlVa,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
38,Otu000048,Acidaminococcus,Acidaminococcaceae,Selenomonadales,Negativicutes,Firmicutes
39,Otu000049,Parabacteroides,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes
40,Otu000050,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
41,Otu000051,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
42,Otu000055,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
43,Otu000057,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
44,Otu000062,Dorea,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
45,Otu000063,Odoribacter,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes
46,Otu000064,Clostridium_IV,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
47,Otu000066,Veillonella,Veillonellaceae,Selenomonadales,Negativicutes,Firmicutes
48,Otu000067,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
49,Otu000069,Paraprevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
50,Otu000074,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
51,Otu000079,Clostridium_XI,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes
52,Otu000080,Roseburia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
53,Otu000081,Turicibacter,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes
54,Otu000082,Parasutterella,Sutterellaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
55,Otu000083,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
56,Otu000084,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
57,Otu000090,Megasphaera,Veillonellaceae,Selenomonadales,Negativicutes,Firmicutes
58,Otu000091,Odoribacter,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes
59,Otu000093,Paraprevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
60,Otu000095,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
61,Otu000096,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
62,Otu000097,Clostridium_XlVa,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
63,Otu000098,Bilophila,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria
64,Otu000099,Catenibacterium,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes
65,Otu000102,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
66,Otu000104,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
67,Otu000105,Porphyromonas,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes
68,Otu000107,Clostridium_XVIII,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes
69,Otu000108,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
70,Otu000109,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
71,Otu000110,Enterorhabdus,Coriobacteriaceae,Coriobacteriales,Actinobacteria,Actinobacteria
72,Otu000111,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria
73,Otu000112,Clostridium_XlVa,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
74,Otu000117,Clostridium_IV,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
75,Otu000123,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes
76,Otu000126,Butyricimonas,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes
77,Otu000127,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
78,Otu000131,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
79,Otu000132,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
80,Otu000133,Oscillibacter,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
81,Otu000134,Succiniclasticum,Acidaminococcaceae,Selenomonadales,Negativicutes,Firmicutes
82,Otu000135,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
83,Otu000136,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
84,Otu000138,Clostridium_XlVa,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
85,Otu000140,Clostridium_IV,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
86,Otu000142,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
87,Otu000143,Oscillibacter,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
88,Otu000145,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
89,Otu000147,Clostridium_XlVb,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
90,Otu000150,Clostridium_IV,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
91,Otu000151,Clostridium_sensu_stricto,Clostridiaceae_1,Clostridiales,Clostridia,Firmicutes
92,Otu000152,Clostridium_XVIII,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes
